GroupID	Protein
332	TSP2_MOUSE
333	VDAC2_MOUSE
334	ROA1_MOUSE
335	LRP1_MOUSE
336	NPC2_MOUSE
337	SORCN_MOUSE
338	THOC4_MOUSE
338	REFP2_MOUSE
339	CO2A1_MOUSE
340	CBX3_MOUSE
341	TPSN_MOUSE
342	SAP3_MOUSE
343	CLPX_MOUSE
344	LG3BP_MOUSE
345	ALDR_MOUSE
346	IF4B_MOUSE
347	RL13_MOUSE
348	NU214_MOUSE
349	B4GN1_MOUSE
350	RS12_MOUSE
351	PTPRF_MOUSE
351	PTPRD_MOUSE
352	HMGN2_MOUSE
353	KBTBC_MOUSE
354	DBNL_MOUSE
355	HNRPQ_MOUSE
356	IQCB1_MOUSE
357	GDIR2_MOUSE
358	METH_MOUSE
359	PLAK_MOUSE
360	PGCA_MOUSE
361	B2MG_MOUSE
362	ERBB2_MOUSE
363	HB2F_MOUSE
363	HB2K_MOUSE
363	HB2S_MOUSE
363	HB2U_MOUSE
363	HB2A_MOUSE
364	FBLN7_MOUSE
365	HGFA_MOUSE
366	HCLS1_MOUSE
367	COBA1_MOUSE
368	NOP58_MOUSE
369	PDLI1_MOUSE
370	IL1AP_MOUSE
371	SUMO3_MOUSE
371	SUMO2_MOUSE
372	DIRA2_MOUSE
373	SAHH_MOUSE
374	CADH2_MOUSE
375	PDIA1_MOUSE
376	ERP44_MOUSE
377	TXND5_MOUSE
378	PTN6_MOUSE
379	TMX1_MOUSE
380	THIO_MOUSE
381	EFTU_MOUSE
382	HNRH2_MOUSE
382	HNRPF_MOUSE
382	HNRH1_MOUSE
383	C1RB_MOUSE
383	C1RA_MOUSE
384	RAB7A_MOUSE
385	RET4_MOUSE
386	IMB1_MOUSE
387	CAD11_MOUSE
388	IF4A2_MOUSE
388	IF4A1_MOUSE
389	BHMT1_MOUSE
390	TPP1_MOUSE
391	ATL4_MOUSE
392	ARF5_MOUSE
393	APOA1_MOUSE
394	CSK_MOUSE
395	LCAT_MOUSE
396	LAMA2_MOUSE
397	THY1_MOUSE
398	COPD_MOUSE
399	PTK7_MOUSE
400	IF2A_MOUSE
401	MPRI_MOUSE
402	ACY3_MOUSE
403	RGN_MOUSE
404	VDAC1_MOUSE
405	VNN3_MOUSE
406	DHE3_MOUSE
407	CADH5_MOUSE
408	LKHA4_MOUSE
409	CO4B_MOUSE
